"Periodo","Zona","Ámbito geográfico","Playas con Bandera Azul","Puertos Deportivos con Bandera Azul"
"2024","Zona Interior","Parcent","",""
"2024","Zona Intermedia","Pedreguer","",""
"2024","Zona Intermedia","Pego","",""
"2024","Zona Interior","el Ràfol d'Almúnia","",""
"2024","Zona Interior","Sagra","",""
"2024","Zona Interior","Sanet y Negrals","",""
"2024","Zona Intermedia","Senija","",""
"2024","Zona Costa","Teulada","2","1"
"2024","Zona Interior","Tormos","",""
"2024","Zona Interior","la Vall d'Alcalà","",""
"2024","Zona Interior","la Vall d'Ebo","",""
"2024","Zona Interior","la Vall de Gallinera","",""
"2024","Zona Interior","la Vall de Laguar","",""
"2024","Zona Intermedia","el Verger","",""
"2024","Zona Costa","els Poblets","",""
"2023","-","Comunitat Valenciana","135","18"
"2023","-","Provincia de Alicante","69","16"
"2023","-","La Marina Alta","16","6"
"2023","-","Zona Costa","14","5"
"2023","-","Zona Intermedia","2","1"
"2023","-","Zona Interior","",""
"2023","Zona Interior","l'Atzúbia","",""
"2023","Zona Interior","Alcalalí","",""
"2023","Zona Interior","Beniarbeig","",""
"2023","Zona Interior","Benigembla","",""
"2023","Zona Interior","Benidoleig","",""
"2023","Zona Interior","Benimeli","",""
"2023","Zona Intermedia","Benissa","2","1"
"2023","Zona Costa","Poble Nou de Benitatxell","1",""
"2023","Zona Costa","Calp","3","1"
"2023","Zona Interior","Castell de Castells","",""
"2023","Zona Costa","Dénia","5","2"
"2023","Zona Intermedia","Gata de Gorgos","",""
"2023","Zona Intermedia","Xaló","",""
"2023","Zona Costa","Xàbia/Jávea","2","1"
"2023","Zona Intermedia","Llíber","",""
"2023","Zona Interior","Murla","",""
"2023","Zona Intermedia","Ondara","",""
"2023","Zona Interior","Orba","",""
"2023","Zona Interior","Parcent","",""
"2023","Zona Intermedia","Pedreguer","",""
"2023","Zona Intermedia","Pego","",""
"2023","Zona Interior","el Ràfol d'Almúnia","",""
"2023","Zona Interior","Sagra","",""
"2023","Zona Interior","Sanet y Negrals","",""
"2023","Zona Intermedia","Senija","",""
"2023","Zona Costa","Teulada","3","1"
"2023","Zona Interior","Tormos","",""
"2023","Zona Interior","la Vall d'Alcalà","",""
"2023","Zona Interior","la Vall d'Ebo","",""
"2023","Zona Interior","la Vall de Gallinera","",""
"2023","Zona Interior","la Vall de Laguar","",""
"2023","Zona Intermedia","el Verger","",""
"2023","Zona Costa","els Poblets","",""
"2022","-","Comunitat Valenciana","139","19"
"2022","-","Provincia de Alicante","74","17"
"2022","-","La Marina Alta","18","5"
"2022","-","Zona Costa","16","4"
"2022","-","Zona Intermedia","2","1"
"2022","-","Zona Interior","",""
"2022","Zona Interior","l'Atzúbia","",""
"2022","Zona Interior","Alcalalí","",""
"2022","Zona Interior","Beniarbeig","",""
"2022","Zona Interior","Benigembla","",""
"2022","Zona Interior","Benidoleig","",""
"2022","Zona Interior","Benimeli","",""
"2022","Zona Intermedia","Benissa","2","1"
"2022","Zona Costa","Poble Nou de Benitatxell","1",""
"2022","Zona Costa","Calp","3","1"
"2022","Zona Interior","Castell de Castells","",""
"2022","Zona Costa","Dénia","6","2"
"2022","Zona Intermedia","Gata de Gorgos","",""
"2022","Zona Intermedia","Xaló","",""
"2022","Zona Costa","Xàbia/Jávea","3","1"
"2022","Zona Intermedia","Llíber","",""
"2022","Zona Interior","Murla","",""
"2022","Zona Intermedia","Ondara","",""
"2022","Zona Interior","Orba","",""
"2022","Zona Interior","Parcent","",""
"2022","Zona Intermedia","Pedreguer","",""
"2022","Zona Intermedia","Pego","",""
"2022","Zona Interior","el Ràfol d'Almúnia","",""
"2022","Zona Interior","Sagra","",""
"2022","Zona Interior","Sanet y Negrals","",""
"2022","Zona Intermedia","Senija","",""
"2022","Zona Costa","Teulada","3",""
"2022","Zona Interior","Tormos","",""
"2022","Zona Interior","la Vall d'Alcalà","",""
"2022","Zona Interior","la Vall d'Ebo","",""
"2022","Zona Interior","la Vall de Gallinera","",""
"2022","Zona Interior","la Vall de Laguar","",""
"2022","Zona Intermedia","el Verger","",""
"2022","Zona Costa","els Poblets","",""
"2021","-","Comunitat Valenciana","137","16"
"2021","-","Provincia de Alicante","74","15"
"2021","-","La Marina Alta","17","5"
"2021","-","Zona Costa","16","4"
"2021","-","Zona Intermedia","1","1"
"2021","-","Zona Interior","",""
"2021","Zona Interior","l'Atzúbia","",""
"2021","Zona Interior","Alcalalí","",""
"2021","Zona Interior","Beniarbeig","",""
"2021","Zona Interior","Benigembla","",""
"2021","Zona Interior","Benidoleig","",""
"2021","Zona Interior","Benimeli","",""
"2021","Zona Intermedia","Benissa","1","1"
"2021","Zona Costa","Poble Nou de Benitatxell","1",""
"2021","Zona Costa","Calp","3","1"
"2021","Zona Interior","Castell de Castells","",""
"2021","Zona Costa","Dénia","6","2"
"2021","Zona Intermedia","Gata de Gorgos","",""
"2021","Zona Intermedia","Xaló","",""
"2021","Zona Costa","Xàbia/Jávea","3","1"
"2021","Zona Intermedia","Llíber","",""
"2021","Zona Interior","Murla","",""
"2021","Zona Intermedia","Ondara","",""
"2021","Zona Interior","Orba","",""
"2021","Zona Interior","Parcent","",""
"2021","Zona Intermedia","Pedreguer","",""
"2021","Zona Intermedia","Pego","",""
"2021","Zona Interior","el Ràfol d'Almúnia","",""
"2021","Zona Interior","Sagra","",""
"2021","Zona Interior","Sanet y Negrals","",""
"2021","Zona Intermedia","Senija","",""
"2021","Zona Costa","Teulada","3",""
"2021","Zona Interior","Tormos","",""
"2021","Zona Interior","la Vall d'Alcalà","",""
"2021","Zona Interior","la Vall d'Ebo","",""
"2021","Zona Interior","la Vall de Gallinera","",""
"2021","Zona Interior","la Vall de Laguar","",""
"2021","Zona Intermedia","el Verger","",""
"2021","Zona Costa","els Poblets","",""
"2020","-","Comunitat Valenciana","134","14"
"2020","-","Provincia de Alicante","73","13"
"2020","-","La Marina Alta","17","5"
"2020","-","Zona Costa","16","4"
"2020","-","Zona Intermedia","1","1"
"2020","-","Zona Interior","",""
"2020","Zona Interior","l'Atzúbia","0","0"
"2020","Zona Interior","Alcalalí","0","0"
"2020","Zona Interior","Beniarbeig","0","0"
"2020","Zona Interior","Benigembla","0","0"
"2020","Zona Interior","Benidoleig","0","0"
"2020","Zona Interior","Benimeli","0","0"
"2020","Zona Intermedia","Benissa","1","1"
"2020","Zona Costa","Poble Nou de Benitatxell","1",""
"2020","Zona Costa","Calp","3","1"
"2020","Zona Interior","Castell de Castells","0","0"
"2020","Zona Costa","Dénia","6","2"
"2020","Zona Intermedia","Gata de Gorgos","0","0"
"2020","Zona Intermedia","Xaló","0","0"
"2020","Zona Costa","Xàbia/Jávea","3","1"
"2020","Zona Intermedia","Llíber","0","0"
"2020","Zona Interior","Murla","0","0"
"2020","Zona Intermedia","Ondara","0","0"
"2020","Zona Interior","Orba","0","0"
"2020","Zona Interior","Parcent","0","0"
"2020","Zona Intermedia","Pedreguer","0","0"
"2020","Zona Intermedia","Pego","0","0"
"2020","Zona Interior","el Ràfol d'Almúnia","0","0"
"2020","Zona Interior","Sagra","0","0"
"2020","Zona Interior","Sanet y Negrals","0","0"
"2020","Zona Intermedia","Senija","0","0"
"2020","Zona Costa","Teulada","3",""
"2020","Zona Interior","Tormos","0","0"
"2020","Zona Interior","la Vall d'Alcalà","0","0"
"2020","Zona Interior","la Vall d'Ebo","0","0"
"2020","Zona Interior","la Vall de Gallinera","0","0"
"2020","Zona Interior","la Vall de Laguar","0","0"
"2020","Zona Intermedia","el Verger","0","0"
"2020","Zona Costa","els Poblets","",""
"2019","-","Comunitat Valenciana","135","15"
"2019","-","Provincia de Alicante","71","13"
"2019","-","La Marina Alta","17","5"
"2019","-","Zona Costa","16","4"
"2019","-","Zona Intermedia","1","1"
"2019","-","Zona Interior","",""
"2019","Zona Interior","l'Atzúbia","0","0"
"2019","Zona Interior","Alcalalí","0","0"
"2019","Zona Interior","Beniarbeig","0","0"
"2019","Zona Interior","Benigembla","0","0"
"2019","Zona Interior","Benidoleig","0","0"
"2019","Zona Interior","Benimeli","0","0"
"2019","Zona Intermedia","Benissa","1","1"
"2019","Zona Costa","Poble Nou de Benitatxell","1",""
"2019","Zona Costa","Calp","3","1"
"2019","Zona Interior","Castell de Castells","0","0"
"2019","Zona Costa","Dénia","6","2"
"2019","Zona Intermedia","Gata de Gorgos","0","0"
"2019","Zona Intermedia","Xaló","0","0"
"2019","Zona Costa","Xàbia/Jávea","3","1"
"2019","Zona Intermedia","Llíber","0","0"
"2019","Zona Interior","Murla","0","0"
"2019","Zona Intermedia","Ondara","0","0"
"2019","Zona Interior","Orba","0","0"
"2019","Zona Interior","Parcent","0","0"
"2019","Zona Intermedia","Pedreguer","0","0"
"2019","Zona Intermedia","Pego","0","0"
"2019","Zona Interior","el Ràfol d'Almúnia","0","0"
"2019","Zona Interior","Sagra","0","0"
"2019","Zona Interior","Sanet y Negrals","0","0"
"2019","Zona Intermedia","Senija","0","0"
"2019","Zona Costa","Teulada","3",""
"2019","Zona Interior","Tormos","0","0"
"2019","Zona Interior","la Vall d'Alcalà","0","0"
"2019","Zona Interior","la Vall d'Ebo","0","0"
"2019","Zona Interior","la Vall de Gallinera","0","0"
"2019","Zona Interior","la Vall de Laguar","0","0"
"2019","Zona Intermedia","el Verger","0","0"
"2019","Zona Costa","els Poblets","",""
"2018","-","Comunitat Valenciana","132","14"
"2018","-","Provincia de Alicante","68","13"
"2018","-","La Marina Alta","15","4"
"2018","-","Zona Costa","14","3"
"2018","-","Zona Intermedia","1","1"
"2018","-","Zona Interior","",""
"2018","Zona Interior","l'Atzúbia","0","0"
"2018","Zona Interior","Alcalalí","0","0"
"2018","Zona Interior","Beniarbeig","0","0"
"2018","Zona Interior","Benigembla","0","0"
"2018","Zona Interior","Benidoleig","0","0"
"2018","Zona Interior","Benimeli","0","0"
"2018","Zona Intermedia","Benissa","1","1"
"2018","Zona Costa","Poble Nou de Benitatxell","1",""
"2018","Zona Costa","Calp","3","1"
"2018","Zona Interior","Castell de Castells","0","0"
"2018","Zona Costa","Dénia","4","1"
"2018","Zona Intermedia","Gata de Gorgos","0","0"
"2018","Zona Intermedia","Xaló","0","0"
"2018","Zona Costa","Xàbia/Jávea","3","1"
"2018","Zona Intermedia","Llíber","0","0"
"2018","Zona Interior","Murla","0","0"
"2018","Zona Intermedia","Ondara","0","0"
"2018","Zona Interior","Orba","0","0"
"2018","Zona Interior","Parcent","0","0"
"2018","Zona Intermedia","Pedreguer","0","0"
"2018","Zona Intermedia","Pego","0","0"
"2018","Zona Interior","el Ràfol d'Almúnia","0","0"
"2018","Zona Interior","Sagra","0","0"
"2018","Zona Interior","Sanet y Negrals","0","0"
"2018","Zona Intermedia","Senija","0","0"
"2018","Zona Costa","Teulada","3",""
"2018","Zona Interior","Tormos","0","0"
"2018","Zona Interior","la Vall d'Alcalà","0","0"
"2018","Zona Interior","la Vall d'Ebo","0","0"
"2018","Zona Interior","la Vall de Gallinera","0","0"
"2018","Zona Interior","la Vall de Laguar","0","0"
"2018","Zona Intermedia","el Verger","0","0"
"2018","Zona Costa","els Poblets","",""
"2017","-","Comunitat Valenciana","129","15"
"2017","-","Provincia de Alicante","64","14"
"2017","-","La Marina Alta","15","4"
"2017","-","Zona Costa","14","3"
"2017","-","Zona Intermedia","1","1"
"2017","-","Zona Interior","",""
"2017","Zona Interior","l'Atzúbia","0","0"
"2017","Zona Interior","Alcalalí","0","0"
"2017","Zona Interior","Beniarbeig","0","0"
"2017","Zona Interior","Benigembla","0","0"
"2017","Zona Interior","Benidoleig","0","0"
"2017","Zona Interior","Benimeli","0","0"
"2017","Zona Intermedia","Benissa","1","1"
"2017","Zona Costa","Poble Nou de Benitatxell","1",""
"2017","Zona Costa","Calp","3","1"
"2017","Zona Interior","Castell de Castells","0","0"
"2017","Zona Costa","Dénia","4","1"
"2017","Zona Intermedia","Gata de Gorgos","0","0"
"2017","Zona Intermedia","Xaló","0","0"
"2017","Zona Costa","Xàbia/Jávea","3","1"
"2017","Zona Intermedia","Llíber","0","0"
"2017","Zona Interior","Murla","0","0"
"2017","Zona Intermedia","Ondara","0","0"
"2017","Zona Interior","Orba","0","0"
"2017","Zona Interior","Parcent","0","0"
"2017","Zona Intermedia","Pedreguer","0","0"
"2017","Zona Intermedia","Pego","0","0"
"2017","Zona Interior","el Ràfol d'Almúnia","0","0"
"2017","Zona Interior","Sagra","0","0"
"2017","Zona Interior","Sanet y Negrals","0","0"
"2017","Zona Intermedia","Senija","0","0"
"2017","Zona Costa","Teulada","3",""
"2017","Zona Interior","Tormos","0","0"
"2017","Zona Interior","la Vall d'Alcalà","0","0"
"2017","Zona Interior","la Vall d'Ebo","0","0"
"2017","Zona Interior","la Vall de Gallinera","0","0"
"2017","Zona Interior","la Vall de Laguar","0","0"
"2017","Zona Intermedia","el Verger","0","0"
"2017","Zona Costa","els Poblets","",""
"2016","-","Comunitat Valenciana","125","14"
"2016","-","Provincia de Alicante","62","13"
"2016","-","La Marina Alta","15","4"
"2016","-","Zona Costa","14","3"
"2016","-","Zona Intermedia","1","1"
"2016","-","Zona Interior","",""
"2016","Zona Interior","l'Atzúbia","0","0"
"2016","Zona Interior","Alcalalí","0","0"
"2016","Zona Interior","Beniarbeig","0","0"
"2016","Zona Interior","Benigembla","0","0"
"2016","Zona Interior","Benidoleig","0","0"
"2016","Zona Interior","Benimeli","0","0"
"2016","Zona Intermedia","Benissa","1","1"
"2016","Zona Costa","Poble Nou de Benitatxell","",""
"2016","Zona Costa","Calp","3","1"
"2016","Zona Interior","Castell de Castells","0","0"
"2016","Zona Costa","Dénia","5","1"
"2016","Zona Intermedia","Gata de Gorgos","0","0"
"2016","Zona Intermedia","Xaló","0","0"
"2016","Zona Costa","Xàbia/Jávea","3","1"
"2016","Zona Intermedia","Llíber","0","0"
"2016","Zona Interior","Murla","0","0"
"2016","Zona Intermedia","Ondara","0","0"
"2016","Zona Interior","Orba","0","0"
"2016","Zona Interior","Parcent","0","0"
"2016","Zona Intermedia","Pedreguer","0","0"
"2016","Zona Intermedia","Pego","0","0"
"2016","Zona Interior","el Ràfol d'Almúnia","0","0"
"2016","Zona Interior","Sagra","0","0"
"2016","Zona Interior","Sanet y Negrals","0","0"
"2016","Zona Intermedia","Senija","0","0"
"2016","Zona Costa","Teulada","3",""
"2016","Zona Interior","Tormos","0","0"
"2016","Zona Interior","la Vall d'Alcalà","0","0"
"2016","Zona Interior","la Vall d'Ebo","0","0"
"2016","Zona Interior","la Vall de Gallinera","0","0"
"2016","Zona Interior","la Vall de Laguar","0","0"
"2016","Zona Intermedia","el Verger","0","0"
"2016","Zona Costa","els Poblets","",""
