"Año","Zona","Ámbito geográfico","Número de asociaciones","Tasa de asociacionismo (‰)"
"2022","-","Zona Interior","387","26,10"
"2022","Zona Interior","l'Atzúbia","22","34,76"
"2022","Zona Interior","Alcalalí","41","31,37"
"2022","Zona Interior","Beniarbeig","14","6,11"
"2022","Zona Interior","Benigembla","10","18,83"
"2022","Zona Interior","Benidoleig","34","27,49"
"2022","Zona Interior","Benimeli","11","25,94"
"2022","Zona Intermedia","Benissa","214","17,75"
"2022","Zona Costa","Poble Nou de Benitatxell","65","13,70"
"2022","Zona Costa","Calp","274","11,27"
"2022","Zona Interior","Castell de Castells","16","37,56"
"2022","Zona Costa","Dénia","676","15,29"
"2022","Zona Intermedia","Gata de Gorgos","98","15,25"
"2022","Zona Intermedia","Xaló","65","21,86"
"2022","Zona Costa","Xàbia/Jávea","412","13,97"
"2022","Zona Intermedia","Llíber","23","22,57"
"2022","Zona Interior","Murla","10","18,52"
"2022","Zona Intermedia","Ondara","104","14,68"
"2022","Zona Interior","Orba","45","19,01"
"2022","Zona Interior","Parcent","28","27,92"
"2022","Zona Intermedia","Pedreguer","135","16,24"
"2022","Zona Intermedia","Pego","220","21,31"
"2022","Zona Interior","el Ràfol d'Almúnia","19","26,03"
"2022","Zona Interior","Sagra","9","20,64"
"2022","Zona Interior","Sanet y Negrals","28","37,79"
"2022","Zona Intermedia","Senija","9","14,49"
"2022","Zona Costa","Teulada","186","15,36"
"2022","Zona Interior","Tormos","10","29,59"
"2022","Zona Interior","la Vall d'Alcalà","15","90,91"
"2022","Zona Interior","la Vall d'Ebo","13","59,09"
"2022","Zona Interior","la Vall de Gallinera","28","48,03"
"2022","Zona Interior","la Vall de Laguar","34","39,63"
"2022","Zona Intermedia","el Verger","110","21,84"
"2022","Zona Costa","els Poblets","47","17,05"
"2021","-","Comunitat Valenciana","82445","16,27"
"2021","-","Provincia de Alicante","28370","15,03"
"2021","-","La Marina Alta","3016","16,66"
"2021","-","Zona Costa","1648","14,42"
"2021","-","Zona Intermedia","983","18,76"
"2021","-","Zona Interior","385","26,88"
"2021","Zona Interior","l'Atzúbia","22","35,20"
"2021","Zona Interior","Alcalalí","41","31,04"
"2021","Zona Interior","Beniarbeig","15","6,71"
"2021","Zona Interior","Benigembla","10","20,96"
"2021","Zona Interior","Benidoleig","34","29,49"
"2021","Zona Interior","Benimeli","11","26,76"
"2021","Zona Intermedia","Benissa","212","18,41"
"2021","Zona Costa","Poble Nou de Benitatxell","65","14,51"
"2021","Zona Costa","Calp","272","11,53"
"2021","Zona Interior","Castell de Castells","17","39,81"
"2021","Zona Costa","Dénia","681","15,79"
"2021","Zona Intermedia","Gata de Gorgos","96","15,38"
"2021","Zona Intermedia","Xaló","69","23,51"
"2021","Zona Costa","Xàbia/Jávea","407","14,14"
"2021","Zona Intermedia","Llíber","23","23,96"
"2021","Zona Interior","Murla","10","18,76"
"2021","Zona Intermedia","Ondara","105","14,83"
"2021","Zona Interior","Orba","44","19,23"
"2021","Zona Interior","Parcent","27","26,89"
"2021","Zona Intermedia","Pedreguer","135","16,94"
"2021","Zona Intermedia","Pego","225","21,96"
"2021","Zona Interior","el Ràfol d'Almúnia","19","28,19"
"2021","Zona Interior","Sagra","9","21,08"
"2021","Zona Interior","Sanet y Negrals","28","40,46"
"2021","Zona Intermedia","Senija","9","14,85"
"2021","Zona Costa","Teulada","176","15,16"
"2021","Zona Interior","Tormos","10","30,21"
"2021","Zona Interior","la Vall d'Alcalà","15","90,91"
"2021","Zona Interior","la Vall d'Ebo","12","57,97"
"2021","Zona Interior","la Vall de Gallinera","27","53,47"
"2021","Zona Interior","la Vall de Laguar","34","40,09"
"2021","Zona Intermedia","el Verger","109","22,45"
"2021","Zona Costa","els Poblets","47","17,25"
"2020","-","Comunitat Valenciana","81602","16,14"
"2020","-","Provincia de Alicante","28169","14,98"
"2020","-","La Marina Alta","2991","16,78"
"2020","-","Zona Costa","1634","14,51"
"2020","-","Zona Intermedia","975","18,89"
"2020","-","Zona Interior","382","27,33"
"2020","Zona Interior","l'Atzúbia","22","36,01"
"2020","Zona Interior","Alcalalí","41","31,49"
"2020","Zona Interior","Beniarbeig","14","6,48"
"2020","Zona Interior","Benigembla","10","22,57"
"2020","Zona Interior","Benidoleig","33","30,61"
"2020","Zona Interior","Benimeli","11","25,64"
"2020","Zona Intermedia","Benissa","210","18,60"
"2020","Zona Costa","Poble Nou de Benitatxell","64","14,38"
"2020","Zona Costa","Calp","266","11,40"
"2020","Zona Interior","Castell de Castells","17","38,90"
"2020","Zona Costa","Dénia","678","15,83"
"2020","Zona Intermedia","Gata de Gorgos","92","14,74"
"2020","Zona Intermedia","Xaló","69","24,06"
"2020","Zona Costa","Xàbia/Jávea","404","14,42"
"2020","Zona Intermedia","Llíber","22","26,51"
"2020","Zona Interior","Murla","10","19,72"
"2020","Zona Intermedia","Ondara","105","14,84"
"2020","Zona Interior","Orba","44","19,71"
"2020","Zona Interior","Parcent","27","27,92"
"2020","Zona Intermedia","Pedreguer","135","17,13"
"2020","Zona Intermedia","Pego","224","22,11"
"2020","Zona Interior","el Ràfol d'Almúnia","19","29,32"
"2020","Zona Interior","Sagra","9","21,13"
"2020","Zona Interior","Sanet y Negrals","28","40,58"
"2020","Zona Intermedia","Senija","9","15,44"
"2020","Zona Costa","Teulada","175","15,52"
"2020","Zona Interior","Tormos","10","31,45"
"2020","Zona Interior","la Vall d'Alcalà","15","93,75"
"2020","Zona Interior","la Vall d'Ebo","11","50,46"
"2020","Zona Interior","la Vall de Gallinera","27","51,23"
"2020","Zona Interior","la Vall de Laguar","34","41,11"
"2020","Zona Intermedia","el Verger","109","23,15"
"2020","Zona Costa","els Poblets","47","17,32"
"2019","-","Comunitat Valenciana","80750","16,14"
"2019","-","Provincia de Alicante","27894","15,01"
"2019","-","La Marina Alta","2962","16,91"
"2019","-","Zona Costa","1617","14,62"
"2019","-","Zona Intermedia","968","19,10"
"2019","-","Zona Interior","377","27,13"
"2019","Zona Interior","l'Atzúbia","22","34,81"
"2019","Zona Interior","Alcalalí","41","32,08"
"2019","Zona Interior","Beniarbeig","13","6,21"
"2019","Zona Interior","Benigembla","10","20,41"
"2019","Zona Interior","Benidoleig","33","30,14"
"2019","Zona Interior","Benimeli","11","26,32"
"2019","Zona Intermedia","Benissa","208","18,90"
"2019","Zona Costa","Poble Nou de Benitatxell","64","14,97"
"2019","Zona Costa","Calp","265","11,66"
"2019","Zona Interior","Castell de Castells","15","33,41"
"2019","Zona Costa","Dénia","669","15,87"
"2019","Zona Intermedia","Gata de Gorgos","91","15,04"
"2019","Zona Intermedia","Xaló","68","24,83"
"2019","Zona Costa","Xàbia/Jávea","399","14,45"
"2019","Zona Intermedia","Llíber","22","23,53"
"2019","Zona Interior","Murla","10","21,28"
"2019","Zona Intermedia","Ondara","104","15,09"
"2019","Zona Interior","Orba","44","20,24"
"2019","Zona Interior","Parcent","27","29,06"
"2019","Zona Intermedia","Pedreguer","135","17,53"
"2019","Zona Intermedia","Pego","222","21,92"
"2019","Zona Interior","el Ràfol d'Almúnia","19","29,10"
"2019","Zona Interior","Sagra","9","22,06"
"2019","Zona Interior","Sanet y Negrals","27","40,48"
"2019","Zona Intermedia","Senija","9","15,41"
"2019","Zona Costa","Teulada","173","15,57"
"2019","Zona Interior","Tormos","9","26,47"
"2019","Zona Interior","la Vall d'Alcalà","15","89,82"
"2019","Zona Interior","la Vall d'Ebo","11","50,93"
"2019","Zona Interior","la Vall de Gallinera","27","47,29"
"2019","Zona Interior","la Vall de Laguar","34","40,19"
"2019","Zona Intermedia","el Verger","109","23,49"
"2019","Zona Costa","els Poblets","47","17,38"
"2018","-","Comunitat Valenciana","79488","16,01"
"2018","-","Provincia de Alicante","27527","14,97"
"2018","-","La Marina Alta","2919","16,99"
"2018","-","Zona Costa","1598","14,75"
"2018","-","Zona Intermedia","953","19,12"
"2018","-","Zona Interior","368","26,93"
"2018","Zona Interior","l'Atzúbia","22","33,28"
"2018","Zona Interior","Alcalalí","40","30,82"
"2018","Zona Interior","Beniarbeig","13","6,56"
"2018","Zona Interior","Benigembla","10","22,52"
"2018","Zona Interior","Benidoleig","32","28,83"
"2018","Zona Interior","Benimeli","11","26,83"
"2018","Zona Intermedia","Benissa","205","19,04"
"2018","Zona Costa","Poble Nou de Benitatxell","63","15,25"
"2018","Zona Costa","Calp","263","12,16"
"2018","Zona Interior","Castell de Castells","15","34,48"
"2018","Zona Costa","Dénia","661","15,84"
"2018","Zona Intermedia","Gata de Gorgos","87","14,76"
"2018","Zona Intermedia","Xaló","66","24,60"
"2018","Zona Costa","Xàbia/Jávea","395","14,51"
"2018","Zona Intermedia","Llíber","22","20,93"
"2018","Zona Interior","Murla","9","18,26"
"2018","Zona Intermedia","Ondara","104","15,26"
"2018","Zona Interior","Orba","41","19,42"
"2018","Zona Interior","Parcent","27","29,74"
"2018","Zona Intermedia","Pedreguer","131","17,49"
"2018","Zona Intermedia","Pego","220","21,89"
"2018","Zona Interior","el Ràfol d'Almúnia","19","29,50"
"2018","Zona Interior","Sagra","7","17,99"
"2018","Zona Interior","Sanet y Negrals","26","40,12"
"2018","Zona Intermedia","Senija","9","15,49"
"2018","Zona Costa","Teulada","169","15,76"
"2018","Zona Interior","Tormos","9","26,79"
"2018","Zona Interior","la Vall d'Alcalà","15","91,46"
"2018","Zona Interior","la Vall d'Ebo","11","49,11"
"2018","Zona Interior","la Vall de Gallinera","27","45,84"
"2018","Zona Interior","la Vall de Laguar","34","41,46"
"2018","Zona Intermedia","el Verger","109","24,12"
"2018","Zona Costa","els Poblets","47","16,41"
"2017","-","Comunitat Valenciana","78140","15,81"
"2017","-","Provincia de Alicante","27089","14,84"
"2017","-","La Marina Alta","2865","16,92"
"2017","-","Zona Costa","1565","14,70"
"2017","-","Zona Intermedia","936","18,96"
"2017","-","Zona Interior","364","26,99"
"2017","Zona Interior","l'Atzúbia","22","33,13"
"2017","Zona Interior","Alcalalí","40","31,35"
"2017","Zona Interior","Beniarbeig","13","6,77"
"2017","Zona Interior","Benigembla","10","23,09"
"2017","Zona Interior","Benidoleig","32","29,63"
"2017","Zona Interior","Benimeli","11","28,13"
"2017","Zona Intermedia","Benissa","203","18,66"
"2017","Zona Costa","Poble Nou de Benitatxell","63","15,67"
"2017","Zona Costa","Calp","248","11,92"
"2017","Zona Interior","Castell de Castells","14","32,11"
"2017","Zona Costa","Dénia","650","15,64"
"2017","Zona Intermedia","Gata de Gorgos","85","14,65"
"2017","Zona Intermedia","Xaló","66","25,04"
"2017","Zona Costa","Xàbia/Jávea","388","14,34"
"2017","Zona Intermedia","Llíber","22","23,13"
"2017","Zona Interior","Murla","9","18,87"
"2017","Zona Intermedia","Ondara","97","14,39"
"2017","Zona Interior","Orba","40","19,66"
"2017","Zona Interior","Parcent","27","27,98"
"2017","Zona Intermedia","Pedreguer","129","17,35"
"2017","Zona Intermedia","Pego","216","21,77"
"2017","Zona Interior","el Ràfol d'Almúnia","18","28,53"
"2017","Zona Interior","Sagra","7","17,81"
"2017","Zona Interior","Sanet y Negrals","26","41,01"
"2017","Zona Intermedia","Senija","9","15,57"
"2017","Zona Costa","Teulada","169","16,74"
"2017","Zona Interior","Tormos","9","27,03"
"2017","Zona Interior","la Vall d'Alcalà","15","89,29"
"2017","Zona Interior","la Vall d'Ebo","11","47,41"
"2017","Zona Interior","la Vall de Gallinera","27","45,45"
"2017","Zona Interior","la Vall de Laguar","33","40,00"
"2017","Zona Intermedia","el Verger","109","24,66"
"2017","Zona Costa","els Poblets","47","16,06"
"2016","-","Comunitat Valenciana","76841","15,49"
"2016","-","Provincia de Alicante","26731","14,56"
"2016","-","La Marina Alta","2828","16,65"
"2016","-","Zona Costa","1545","14,54"
"2016","-","Zona Intermedia","920","18,43"
"2016","-","Zona Interior","363","26,62"
"2016","Zona Interior","l'Atzúbia","22","31,93"
"2016","Zona Interior","Alcalalí","40","30,98"
"2016","Zona Interior","Beniarbeig","13","6,78"
"2016","Zona Interior","Benigembla","10","23,87"
"2016","Zona Interior","Benidoleig","32","28,65"
"2016","Zona Interior","Benimeli","11","28,65"
"2016","Zona Intermedia","Benissa","200","18,18"
"2016","Zona Costa","Poble Nou de Benitatxell","62","15,11"
"2016","Zona Costa","Calp","244","12,45"
"2016","Zona Interior","Castell de Castells","14","31,18"
"2016","Zona Costa","Dénia","640","15,43"
"2016","Zona Intermedia","Gata de Gorgos","82","14,08"
"2016","Zona Intermedia","Xaló","65","24,55"
"2016","Zona Costa","Xàbia/Jávea","384","14,10"
"2016","Zona Intermedia","Llíber","22","19,82"
"2016","Zona Interior","Murla","9","18,52"
"2016","Zona Intermedia","Ondara","96","14,44"
"2016","Zona Interior","Orba","40","19,18"
"2016","Zona Interior","Parcent","27","27,41"
"2016","Zona Intermedia","Pedreguer","127","17,09"
"2016","Zona Intermedia","Pego","213","20,97"
"2016","Zona Interior","el Ràfol d'Almúnia","18","28,57"
"2016","Zona Interior","Sagra","7","16,91"
"2016","Zona Interior","Sanet y Negrals","26","40,06"
"2016","Zona Intermedia","Senija","9","15,60"
"2016","Zona Costa","Teulada","168","15,77"
"2016","Zona Interior","Tormos","8","24,77"
"2016","Zona Interior","la Vall d'Alcalà","15","87,72"
"2016","Zona Interior","la Vall d'Ebo","11","45,27"
"2016","Zona Interior","la Vall de Gallinera","27","46,39"
"2016","Zona Interior","la Vall de Laguar","33","41,20"
"2016","Zona Intermedia","el Verger","106","23,48"
"2016","Zona Costa","els Poblets","47","14,48"
"2015","-","Comunitat Valenciana","75234","15,11"
"2015","-","Provincia de Alicante","26193","14,12"
"2015","-","La Marina Alta","2762","15,78"
"2015","-","Zona Costa","1508","13,68"
"2015","-","Zona Intermedia","897","17,66"
"2015","-","Zona Interior","357","25,48"
"2015","Zona Interior","l'Atzúbia","22","34,81"
"2015","Zona Interior","Alcalalí","40","30,51"
"2015","Zona Interior","Beniarbeig","13","6,75"
"2015","Zona Interior","Benigembla","10","20,41"
"2015","Zona Interior","Benidoleig","32","26,76"
"2015","Zona Interior","Benimeli","11","26,44"
"2015","Zona Intermedia","Benissa","193","16,64"
"2015","Zona Costa","Poble Nou de Benitatxell","61","13,01"
"2015","Zona Costa","Calp","235","10,91"
"2015","Zona Interior","Castell de Castells","14","32,48"
"2015","Zona Costa","Dénia","624","15,02"
"2015","Zona Intermedia","Gata de Gorgos","80","13,59"
"2015","Zona Intermedia","Xaló","65","24,30"
"2015","Zona Costa","Xàbia/Jávea","379","13,69"
"2015","Zona Intermedia","Llíber","21","19,11"
"2015","Zona Interior","Murla","8","15,50"
"2015","Zona Intermedia","Ondara","95","14,36"
"2015","Zona Interior","Orba","38","17,19"
"2015","Zona Interior","Parcent","27","27,08"
"2015","Zona Intermedia","Pedreguer","124","16,90"
"2015","Zona Intermedia","Pego","204","19,75"
"2015","Zona Interior","el Ràfol d'Almúnia","18","28,35"
"2015","Zona Interior","Sagra","7","17,07"
"2015","Zona Interior","Sanet y Negrals","25","37,09"
"2015","Zona Intermedia","Senija","9","14,75"
"2015","Zona Costa","Teulada","163","14,22"
"2015","Zona Interior","Tormos","8","25,64"
"2015","Zona Interior","la Vall d'Alcalà","13","76,92"
"2015","Zona Interior","la Vall d'Ebo","11","44,18"
"2015","Zona Interior","la Vall de Gallinera","27","44,33"
"2015","Zona Interior","la Vall de Laguar","33","39,95"
"2015","Zona Intermedia","el Verger","106","22,91"
"2015","Zona Costa","els Poblets","46","13,93"
"2014","-","Comunitat Valenciana","73828","14,75"
"2014","-","Provincia de Alicante","25768","13,79"
"2014","-","La Marina Alta","2711","15,23"
"2014","-","Zona Costa","1479","13,09"
"2014","-","Zona Intermedia","881","17,29"
"2014","-","Zona Interior","351","24,91"
"2014","Zona Interior","l'Atzúbia","22","35,09"
"2014","Zona Interior","Alcalalí","39","28,89"
"2014","Zona Interior","Beniarbeig","13","6,99"
"2014","Zona Interior","Benigembla","8","15,75"
"2014","Zona Interior","Benidoleig","32","26,91"
"2014","Zona Interior","Benimeli","11","26,25"
"2014","Zona Intermedia","Benissa","191","16,51"
"2014","Zona Costa","Poble Nou de Benitatxell","60","12,88"
"2014","Zona Costa","Calp","229","10,21"
"2014","Zona Interior","Castell de Castells","14","31,67"
"2014","Zona Costa","Dénia","613","14,71"
"2014","Zona Intermedia","Gata de Gorgos","78","13,03"
"2014","Zona Intermedia","Xaló","65","23,27"
"2014","Zona Costa","Xàbia/Jávea","370","12,73"
"2014","Zona Intermedia","Llíber","21","19,44"
"2014","Zona Interior","Murla","8","15,72"
"2014","Zona Intermedia","Ondara","94","14,17"
"2014","Zona Interior","Orba","36","16,25"
"2014","Zona Interior","Parcent","27","26,47"
"2014","Zona Intermedia","Pedreguer","118","15,86"
"2014","Zona Intermedia","Pego","201","19,81"
"2014","Zona Interior","el Ràfol d'Almúnia","18","27,31"
"2014","Zona Interior","Sagra","7","17,16"
"2014","Zona Interior","Sanet y Negrals","25","37,31"
"2014","Zona Intermedia","Senija","8","12,86"
"2014","Zona Costa","Teulada","162","13,70"
"2014","Zona Interior","Tormos","7","22,08"
"2014","Zona Interior","la Vall d'Alcalà","13","74,29"
"2014","Zona Interior","la Vall d'Ebo","11","43,31"
"2014","Zona Interior","la Vall de Gallinera","27","45,38"
"2014","Zona Interior","la Vall de Laguar","33","37,84"
"2014","Zona Intermedia","el Verger","105","22,40"
"2014","Zona Costa","els Poblets","45","13,43"
"2013","-","Comunitat Valenciana","70779","13,84"
"2013","-","Provincia de Alicante","24220","12,45"
"2013","-","La Marina Alta","2623","13,02"
"2013","-","Zona Costa","1429","10,94"
"2013","-","Zona Intermedia","851","15,34"
"2013","-","Zona Interior","343","22,32"
"2013","Zona Interior","l'Atzúbia","22","29,57"
"2013","Zona Interior","Alcalalí","39","27,84"
"2013","Zona Interior","Beniarbeig","12","6,27"
"2013","Zona Interior","Benigembla","8","14,13"
"2013","Zona Interior","Benidoleig","32","24,01"
"2013","Zona Interior","Benimeli","11","25,29"
"2013","Zona Intermedia","Benissa","186","13,35"
"2013","Zona Costa","Poble Nou de Benitatxell","55","9,62"
"2013","Zona Costa","Calp","215","7,30"
"2013","Zona Interior","Castell de Castells","13","26,92"
"2013","Zona Costa","Dénia","586","13,18"
"2013","Zona Intermedia","Gata de Gorgos","77","12,28"
"2013","Zona Intermedia","Xaló","60","18,06"
"2013","Zona Costa","Xàbia/Jávea","362","10,92"
"2013","Zona Intermedia","Llíber","20","18,33"
"2013","Zona Interior","Murla","8","13,25"
"2013","Zona Intermedia","Ondara","93","14,06"
"2013","Zona Interior","Orba","33","12,84"
"2013","Zona Interior","Parcent","26","23,55"
"2013","Zona Intermedia","Pedreguer","111","14,31"
"2013","Zona Intermedia","Pego","193","17,61"
"2013","Zona Interior","el Ràfol d'Almúnia","17","23,64"
"2013","Zona Interior","Sagra","7","16,20"
"2013","Zona Interior","Sanet y Negrals","25","37,65"
"2013","Zona Intermedia","Senija","8","12,10"
"2013","Zona Costa","Teulada","166","11,49"
"2013","Zona Interior","Tormos","7","18,13"
"2013","Zona Interior","la Vall d'Alcalà","13","73,45"
"2013","Zona Interior","la Vall d'Ebo","11","39,15"
"2013","Zona Interior","la Vall de Gallinera","27","44,33"
"2013","Zona Interior","la Vall de Laguar","32","33,97"
"2013","Zona Intermedia","el Verger","103","21,21"
"2013","Zona Costa","els Poblets","45","13,23"
"2012","-","Comunitat Valenciana","69236","13,50"
"2012","-","Provincia de Alicante","23772","12,23"
"2012","-","La Marina Alta","2566","12,71"
"2012","-","Zona Costa","1392","10,65"
"2012","-","Zona Intermedia","837","15,06"
"2012","-","Zona Interior","337","21,61"
"2012","Zona Interior","l'Atzúbia","22","29,37"
"2012","Zona Interior","Alcalalí","38","26,52"
"2012","Zona Interior","Beniarbeig","12","6,31"
"2012","Zona Interior","Benigembla","8","13,72"
"2012","Zona Interior","Benidoleig","32","24,33"
"2012","Zona Interior","Benimeli","11","25,94"
"2012","Zona Intermedia","Benissa","181","13,11"
"2012","Zona Costa","Poble Nou de Benitatxell","52","9,13"
"2012","Zona Costa","Calp","208","7,04"
"2012","Zona Interior","Castell de Castells","13","27,20"
"2012","Zona Costa","Dénia","575","12,93"
"2012","Zona Intermedia","Gata de Gorgos","77","12,17"
"2012","Zona Intermedia","Xaló","60","18,18"
"2012","Zona Costa","Xàbia/Jávea","352","10,67"
"2012","Zona Intermedia","Llíber","17","15,87"
"2012","Zona Interior","Murla","8","13,38"
"2012","Zona Intermedia","Ondara","90","13,52"
"2012","Zona Interior","Orba","33","12,67"
"2012","Zona Interior","Parcent","24","21,22"
"2012","Zona Intermedia","Pedreguer","111","14,32"
"2012","Zona Intermedia","Pego","190","17,23"
"2012","Zona Interior","el Ràfol d'Almúnia","16","21,36"
"2012","Zona Interior","Sagra","7","15,70"
"2012","Zona Interior","Sanet y Negrals","25","35,71"
"2012","Zona Intermedia","Senija","8","12,46"
"2012","Zona Costa","Teulada","160","10,98"
"2012","Zona Interior","Tormos","6","15,54"
"2012","Zona Interior","la Vall d'Alcalà","13","74,29"
"2012","Zona Interior","la Vall d'Ebo","10","34,97"
"2012","Zona Interior","la Vall de Gallinera","27","39,94"
"2012","Zona Interior","la Vall de Laguar","32","33,37"
"2012","Zona Intermedia","el Verger","103","20,63"
"2012","Zona Costa","els Poblets","45","13,22"
