"Año","Zona","Ámbito geográfico","Densidad Poblacional (Hab. / Km­²)","Nº Habitantes","Superficie (km²)"
"2025","Zona Interior","la Vall d'Alcalà","6,96","159","228.510,00"
"2025","Zona Interior","la Vall d'Ebo","7,12","231","324.250,00"
"2025","Zona Interior","la Vall de Gallinera","10,98","589","536.330,00"
"2025","Zona Interior","la Vall de Laguar","39,65","914","230.540,00"
"2025","Zona Intermedia","el Verger","686,59","5.560","80.980,00"
"2025","Zona Costa","els Poblets","752,04","2.769","36.820,00"
"2024","-","Comunitat Valenciana","228,63","5.319.285","232.654.670,00"
"2024","-","Provincia de Alicante","342,59","1.993.289","58.182.940,00"
"2024","-","La Marina Alta","258,53","196.160","7.587.630,00"
"2024","-","Zona Costa","601,25","124.821","2.076.040,00"
"2024","-","Zona Intermedia","222,13","56.038","2.522.790,00"
"2024","-","Zona Interior","51,19","15.301","2.988.830,00"
"2024","Zona Interior","l'Atzúbia","40,70","597","146.700,00"
"2024","Zona Interior","Alcalalí","95,64","1.377","143.980,00"
"2024","Zona Interior","Beniarbeig","330,27","2.445","74.030,00"
"2024","Zona Interior","Benigembla","30,83","569","184.540,00"
"2024","Zona Interior","Benidoleig","165,95","1.242","74.840,00"
"2024","Zona Interior","Benimeli","131,66","455","34.560,00"
"2024","Zona Intermedia","Benissa","177,76","12.395","697.280,00"
"2024","Zona Costa","Poble Nou de Benitatxell","390,81","4.959","126.890,00"
"2024","Zona Costa","Calp","1.129,02","26.637","235.930,00"
"2024","Zona Interior","Castell de Castells","9,80","450","459.270,00"
"2024","Zona Costa","Dénia","710,32","47.166","664.010,00"
"2024","Zona Intermedia","Gata de Gorgos","329,12","6.694","203.390,00"
"2024","Zona Intermedia","Xaló","88,85","3.073","345.860,00"
"2024","Zona Costa","Xàbia/Jávea","442,32","30.482","689.140,00"
"2024","Zona Intermedia","Llíber","45,23","992","219.330,00"
"2024","Zona Interior","Murla","100,64","585","58.130,00"
"2024","Zona Intermedia","Ondara","722,87","7.507","103.850,00"
"2024","Zona Interior","Orba","136,10","2.413","177.300,00"
"2024","Zona Interior","Parcent","87,60","1.031","117.700,00"
"2024","Zona Intermedia","Pedreguer","293,27","8.674","295.770,00"
"2024","Zona Intermedia","Pego","201,90","10.670","528.470,00"
"2024","Zona Interior","el Ràfol d'Almúnia","147,09","719","48.880,00"
"2024","Zona Interior","Sagra","78,58","442","56.250,00"
"2024","Zona Interior","Sanet y Negrals","186,71","736","39.420,00"
"2024","Zona Intermedia","Senija","145,22","695","47.860,00"
"2024","Zona Costa","Teulada","397,74","12.857","323.250,00"
"2024","Zona Interior","Tormos","62,31","334","53.600,00"
"2024","Zona Interior","la Vall d'Alcalà","7,66","175","228.510,00"
"2024","Zona Interior","la Vall d'Ebo","7,19","233","324.250,00"
"2024","Zona Interior","la Vall de Gallinera","10,96","588","536.330,00"
"2024","Zona Interior","la Vall de Laguar","39,47","910","230.540,00"
"2024","Zona Intermedia","el Verger","659,18","5.338","80.980,00"
"2024","Zona Costa","els Poblets","738,73","2.720","36.820,00"
"2023","-","Comunitat Valenciana","224,20","5.216.195","232.654.670,00"
"2023","-","Provincia de Alicante","336,06","1.955.268","58.182.940,00"
"2023","-","La Marina Alta","254,19","192.870","7.587.630,00"
"2023","-","Zona Costa","589,54","122.390","2.076.040,00"
"2023","-","Zona Intermedia","218,95","55.236","2.522.790,00"
"2023","-","Zona Interior","51,00","15.244","2.988.830,00"
"2023","Zona Interior","l'Atzúbia","42,60","625","146.700,00"
"2023","Zona Interior","Alcalalí","96,68","1.392","143.980,00"
"2023","Zona Interior","Beniarbeig","323,38","2.394","74.030,00"
"2023","Zona Interior","Benigembla","29,70","548","184.540,00"
"2023","Zona Interior","Benidoleig","166,35","1.245","74.840,00"
"2023","Zona Interior","Benimeli","131,94","456","34.560,00"
"2023","Zona Intermedia","Benissa","177,43","12.372","697.280,00"
"2023","Zona Costa","Poble Nou de Benitatxell","388,21","4.926","126.890,00"
"2023","Zona Costa","Calp","1.098,16","25.909","235.930,00"
"2023","Zona Interior","Castell de Castells","9,60","441","459.270,00"
"2023","Zona Costa","Dénia","691,15","45.893","664.010,00"
"2023","Zona Intermedia","Gata de Gorgos","323,57","6.581","203.390,00"
"2023","Zona Intermedia","Xaló","87,43","3.024","345.860,00"
"2023","Zona Costa","Xàbia/Jávea","438,94","30.249","689.140,00"
"2023","Zona Intermedia","Llíber","46,55","1.021","219.330,00"
"2023","Zona Interior","Murla","99,09","576","58.130,00"
"2023","Zona Intermedia","Ondara","705,15","7.323","103.850,00"
"2023","Zona Interior","Orba","136,94","2.428","177.300,00"
"2023","Zona Interior","Parcent","86,49","1.018","117.700,00"
"2023","Zona Intermedia","Pedreguer","289,75","8.570","295.770,00"
"2023","Zona Intermedia","Pego","198,97","10.515","528.470,00"
"2023","Zona Interior","el Ràfol d'Almúnia","149,75","732","48.880,00"
"2023","Zona Interior","Sagra","78,58","442","56.250,00"
"2023","Zona Interior","Sanet y Negrals","188,48","743","39.420,00"
"2023","Zona Intermedia","Senija","139,99","670","47.860,00"
"2023","Zona Costa","Teulada","390,38","12.619","323.250,00"
"2023","Zona Interior","Tormos","63,43","340","53.600,00"
"2023","Zona Interior","la Vall d'Alcalà","7,70","176","228.510,00"
"2023","Zona Interior","la Vall d'Ebo","7,09","230","324.250,00"
"2023","Zona Interior","la Vall de Gallinera","10,89","584","536.330,00"
"2023","Zona Interior","la Vall de Laguar","37,91","874","230.540,00"
"2023","Zona Intermedia","el Verger","637,19","5.160","80.980,00"
"2023","Zona Costa","els Poblets","758,83","2.794","36.820,00"
"2022","-","Comunitat Valenciana","219,56","5.108.116","232.654.670,00"
"2022","-","Provincia de Alicante","327,84","1.907.494","58.182.940,00"
"2022","-","La Marina Alta","245,57","186.327","7.587.630,00"
"2022","-","Zona Costa","566,68","117.644","2.076.040,00"
"2022","-","Zona Intermedia","213,47","53.854","2.522.790,00"
"2022","-","Zona Interior","49,61","14.829","2.988.830,00"
"2022","Zona Interior","l'Atzúbia","43,15","633","146.700,00"
"2022","Zona Interior","Alcalalí","90,78","1.307","143.980,00"
"2022","Zona Interior","Beniarbeig","309,33","2.290","74.030,00"
"2022","Zona Interior","Benigembla","28,77","531","184.540,00"
"2022","Zona Interior","Benidoleig","165,29","1.237","74.840,00"
"2022","Zona Interior","Benimeli","122,69","424","34.560,00"
"2022","Zona Intermedia","Benissa","172,86","12.053","697.280,00"
"2022","Zona Costa","Poble Nou de Benitatxell","374,02","4.746","126.890,00"
"2022","Zona Costa","Calp","1.030,81","24.320","235.930,00"
"2022","Zona Interior","Castell de Castells","9,28","426","459.270,00"
"2022","Zona Costa","Dénia","665,85","44.213","664.010,00"
"2022","Zona Intermedia","Gata de Gorgos","315,94","6.426","203.390,00"
"2022","Zona Intermedia","Xaló","85,99","2.974","345.860,00"
"2022","Zona Costa","Xàbia/Jávea","428,03","29.497","689.140,00"
"2022","Zona Intermedia","Llíber","46,46","1.019","219.330,00"
"2022","Zona Interior","Murla","92,90","540","58.130,00"
"2022","Zona Intermedia","Ondara","682,23","7.085","103.850,00"
"2022","Zona Interior","Orba","133,50","2.367","177.300,00"
"2022","Zona Interior","Parcent","85,22","1.003","117.700,00"
"2022","Zona Intermedia","Pedreguer","281,13","8.315","295.770,00"
"2022","Zona Intermedia","Pego","195,36","10.324","528.470,00"
"2022","Zona Interior","el Ràfol d'Almúnia","149,35","730","48.880,00"
"2022","Zona Interior","Sagra","77,51","436","56.250,00"
"2022","Zona Interior","Sanet y Negrals","187,98","741","39.420,00"
"2022","Zona Intermedia","Senija","129,75","621","47.860,00"
"2022","Zona Costa","Teulada","374,66","12.111","323.250,00"
"2022","Zona Interior","Tormos","63,06","338","53.600,00"
"2022","Zona Interior","la Vall d'Alcalà","7,22","165","228.510,00"
"2022","Zona Interior","la Vall d'Ebo","6,78","220","324.250,00"
"2022","Zona Interior","la Vall de Gallinera","10,87","583","536.330,00"
"2022","Zona Interior","la Vall de Laguar","37,22","858","230.540,00"
"2022","Zona Intermedia","el Verger","622,01","5.037","80.980,00"
"2022","Zona Costa","els Poblets","748,78","2.757","36.820,00"
"2021","-","Comunitat Valenciana","217,83","5.067.911","232.654.670,00"
"2021","-","Provincia de Alicante","324,33","1.887.036","58.182.940,00"
"2021","-","La Marina Alta","238,61","181.051","7.587.630,00"
"2021","-","Zona Costa","550,63","114.314","2.076.040,00"
"2021","-","Zona Intermedia","207,75","52.412","2.522.790,00"
"2021","-","Zona Interior","47,93","14.325","2.988.830,00"
"2021","Zona Interior","l'Atzúbia","42,60","625","146.700,00"
"2021","Zona Interior","Alcalalí","91,75","1.321","143.980,00"
"2021","Zona Interior","Beniarbeig","302,17","2.237","74.030,00"
"2021","Zona Interior","Benigembla","25,85","477","184.540,00"
"2021","Zona Interior","Benidoleig","154,06","1.153","74.840,00"
"2021","Zona Interior","Benimeli","118,92","411","34.560,00"
"2021","Zona Intermedia","Benissa","165,17","11.517","697.280,00"
"2021","Zona Costa","Poble Nou de Benitatxell","353,14","4.481","126.890,00"
"2021","Zona Costa","Calp","1.000,00","23.593","235.930,00"
"2021","Zona Interior","Castell de Castells","9,30","427","459.270,00"
"2021","Zona Costa","Dénia","649,48","43.126","664.010,00"
"2021","Zona Intermedia","Gata de Gorgos","306,85","6.241","203.390,00"
"2021","Zona Intermedia","Xaló","84,86","2.935","345.860,00"
"2021","Zona Costa","Xàbia/Jávea","417,65","28.782","689.140,00"
"2021","Zona Intermedia","Llíber","43,77","960","219.330,00"
"2021","Zona Interior","Murla","91,69","533","58.130,00"
"2021","Zona Intermedia","Ondara","681,95","7.082","103.850,00"
"2021","Zona Interior","Orba","129,05","2.288","177.300,00"
"2021","Zona Interior","Parcent","85,30","1.004","117.700,00"
"2021","Zona Intermedia","Pedreguer","269,40","7.968","295.770,00"
"2021","Zona Intermedia","Pego","193,90","10.247","528.470,00"
"2021","Zona Interior","el Ràfol d'Almúnia","137,89","674","48.880,00"
"2021","Zona Interior","Sagra","75,91","427","56.250,00"
"2021","Zona Interior","Sanet y Negrals","175,55","692","39.420,00"
"2021","Zona Intermedia","Senija","126,62","606","47.860,00"
"2021","Zona Costa","Teulada","359,10","11.608","323.250,00"
"2021","Zona Interior","Tormos","61,75","331","53.600,00"
"2021","Zona Interior","la Vall d'Alcalà","7,22","165","228.510,00"
"2021","Zona Interior","la Vall d'Ebo","6,38","207","324.250,00"
"2021","Zona Interior","la Vall de Gallinera","9,42","505","536.330,00"
"2021","Zona Interior","la Vall de Laguar","36,78","848","230.540,00"
"2021","Zona Intermedia","el Verger","599,65","4.856","80.980,00"
"2021","Zona Costa","els Poblets","739,82","2.724","36.820,00"
"2020","-","Comunitat Valenciana","217,38","5.057.353","232.654.670,00"
"2020","-","Provincia de Alicante","323,10","1.879.888","58.182.940,00"
"2020","-","La Marina Alta","234,86","178.203","7.587.630,00"
"2020","-","Zona Costa","542,44","112.613","2.076.040,00"
"2020","-","Zona Intermedia","204,58","51.611","2.522.790,00"
"2020","-","Zona Interior","46,77","13.979","2.988.830,00"
"2020","Zona Interior","l'Atzúbia","41,65","611","146.700,00"
"2020","Zona Interior","Alcalalí","90,43","1.302","143.980,00"
"2020","Zona Interior","Beniarbeig","291,64","2.159","74.030,00"
"2020","Zona Interior","Benigembla","24,01","443","184.540,00"
"2020","Zona Interior","Benidoleig","144,04","1.078","74.840,00"
"2020","Zona Interior","Benimeli","124,13","429","34.560,00"
"2020","Zona Intermedia","Benissa","161,89","11.288","697.280,00"
"2020","Zona Costa","Poble Nou de Benitatxell","350,86","4.452","126.890,00"
"2020","Zona Costa","Calp","988,68","23.326","235.930,00"
"2020","Zona Interior","Castell de Castells","9,52","437","459.270,00"
"2020","Zona Costa","Dénia","644,98","42.827","664.010,00"
"2020","Zona Intermedia","Gata de Gorgos","306,95","6.243","203.390,00"
"2020","Zona Intermedia","Xaló","82,92","2.868","345.860,00"
"2020","Zona Costa","Xàbia/Jávea","406,54","28.016","689.140,00"
"2020","Zona Intermedia","Llíber","37,84","830","219.330,00"
"2020","Zona Interior","Murla","87,22","507","58.130,00"
"2020","Zona Intermedia","Ondara","681,37","7.076","103.850,00"
"2020","Zona Interior","Orba","125,89","2.232","177.300,00"
"2020","Zona Interior","Parcent","82,16","967","117.700,00"
"2020","Zona Intermedia","Pedreguer","266,46","7.881","295.770,00"
"2020","Zona Intermedia","Pego","191,74","10.133","528.470,00"
"2020","Zona Interior","el Ràfol d'Almúnia","132,57","648","48.880,00"
"2020","Zona Interior","Sagra","75,73","426","56.250,00"
"2020","Zona Interior","Sanet y Negrals","175,04","690","39.420,00"
"2020","Zona Intermedia","Senija","121,81","583","47.860,00"
"2020","Zona Costa","Teulada","348,89","11.278","323.250,00"
"2020","Zona Interior","Tormos","59,33","318","53.600,00"
"2020","Zona Interior","la Vall d'Alcalà","7,00","160","228.510,00"
"2020","Zona Interior","la Vall d'Ebo","6,72","218","324.250,00"
"2020","Zona Interior","la Vall de Gallinera","9,83","527","536.330,00"
"2020","Zona Interior","la Vall de Laguar","35,87","827","230.540,00"
"2020","Zona Intermedia","el Verger","581,50","4.709","80.980,00"
"2020","Zona Costa","els Poblets","737,10","2.714","36.820,00"
"2019","-","Comunitat Valenciana","215,07","5.003.769","232.654.670,00"
"2019","-","Provincia de Alicante","319,45","1.858.683","58.182.940,00"
"2019","-","La Marina Alta","230,84","175.156","7.587.630,00"
"2019","-","Zona Costa","532,69","110.588","2.076.040,00"
"2019","-","Zona Intermedia","200,86","50.673","2.522.790,00"
"2019","-","Zona Interior","46,49","13.895","2.988.830,00"
"2019","Zona Interior","l'Atzúbia","43,08","632","146.700,00"
"2019","Zona Interior","Alcalalí","88,76","1.278","143.980,00"
"2019","Zona Interior","Beniarbeig","282,59","2.092","74.030,00"
"2019","Zona Interior","Benigembla","26,55","490","184.540,00"
"2019","Zona Interior","Benidoleig","146,31","1.095","74.840,00"
"2019","Zona Interior","Benimeli","120,95","418","34.560,00"
"2019","Zona Intermedia","Benissa","157,83","11.005","697.280,00"
"2019","Zona Costa","Poble Nou de Benitatxell","336,98","4.276","126.890,00"
"2019","Zona Costa","Calp","963,21","22.725","235.930,00"
"2019","Zona Interior","Castell de Castells","9,78","449","459.270,00"
"2019","Zona Costa","Dénia","635,02","42.166","664.010,00"
"2019","Zona Intermedia","Gata de Gorgos","297,41","6.049","203.390,00"
"2019","Zona Intermedia","Xaló","79,19","2.739","345.860,00"
"2019","Zona Costa","Xàbia/Jávea","400,56","27.604","689.140,00"
"2019","Zona Intermedia","Llíber","42,63","935","219.330,00"
"2019","Zona Interior","Murla","80,85","470","58.130,00"
"2019","Zona Intermedia","Ondara","663,84","6.894","103.850,00"
"2019","Zona Interior","Orba","122,62","2.174","177.300,00"
"2019","Zona Interior","Parcent","78,93","929","117.700,00"
"2019","Zona Intermedia","Pedreguer","260,30","7.699","295.770,00"
"2019","Zona Intermedia","Pego","191,65","10.128","528.470,00"
"2019","Zona Interior","el Ràfol d'Almúnia","133,59","653","48.880,00"
"2019","Zona Interior","Sagra","72,53","408","56.250,00"
"2019","Zona Interior","Sanet y Negrals","169,20","667","39.420,00"
"2019","Zona Intermedia","Senija","122,02","584","47.860,00"
"2019","Zona Costa","Teulada","343,76","11.112","323.250,00"
"2019","Zona Interior","Tormos","63,43","340","53.600,00"
"2019","Zona Interior","la Vall d'Alcalà","7,31","167","228.510,00"
"2019","Zona Interior","la Vall d'Ebo","6,66","216","324.250,00"
"2019","Zona Interior","la Vall de Gallinera","10,65","571","536.330,00"
"2019","Zona Interior","la Vall de Laguar","36,70","846","230.540,00"
"2019","Zona Intermedia","el Verger","572,98","4.640","80.980,00"
"2019","Zona Costa","els Poblets","734,66","2.705","36.820,00"
"2018","-","Comunitat Valenciana","213,35","4.963.703","232.654.670,00"
"2018","-","Provincia de Alicante","316,04","1.838.819","58.182.940,00"
"2018","-","La Marina Alta","226,46","171.826","7.587.630,00"
"2018","-","Zona Costa","521,70","108.306","2.076.040,00"
"2018","-","Zona Intermedia","197,61","49.853","2.522.790,00"
"2018","-","Zona Interior","45,73","13.667","2.988.830,00"
"2018","Zona Interior","l'Atzúbia","45,06","661","146.700,00"
"2018","Zona Interior","Alcalalí","90,15","1.298","143.980,00"
"2018","Zona Interior","Beniarbeig","267,86","1.983","74.030,00"
"2018","Zona Interior","Benigembla","24,06","444","184.540,00"
"2018","Zona Interior","Benidoleig","148,32","1.110","74.840,00"
"2018","Zona Interior","Benimeli","118,63","410","34.560,00"
"2018","Zona Intermedia","Benissa","154,43","10.768","697.280,00"
"2018","Zona Costa","Poble Nou de Benitatxell","325,48","4.130","126.890,00"
"2018","Zona Costa","Calp","916,92","21.633","235.930,00"
"2018","Zona Interior","Castell de Castells","9,47","435","459.270,00"
"2018","Zona Costa","Dénia","628,50","41.733","664.010,00"
"2018","Zona Intermedia","Gata de Gorgos","289,74","5.893","203.390,00"
"2018","Zona Intermedia","Xaló","77,57","2.683","345.860,00"
"2018","Zona Costa","Xàbia/Jávea","395,04","27.224","689.140,00"
"2018","Zona Intermedia","Llíber","47,92","1.051","219.330,00"
"2018","Zona Interior","Murla","84,81","493","58.130,00"
"2018","Zona Intermedia","Ondara","656,23","6.815","103.850,00"
"2018","Zona Interior","Orba","119,06","2.111","177.300,00"
"2018","Zona Interior","Parcent","77,15","908","117.700,00"
"2018","Zona Intermedia","Pedreguer","253,24","7.490","295.770,00"
"2018","Zona Intermedia","Pego","190,21","10.052","528.470,00"
"2018","Zona Interior","el Ràfol d'Almúnia","131,75","644","48.880,00"
"2018","Zona Interior","Sagra","69,16","389","56.250,00"
"2018","Zona Interior","Sanet y Negrals","164,38","648","39.420,00"
"2018","Zona Intermedia","Senija","121,40","581","47.860,00"
"2018","Zona Costa","Teulada","331,69","10.722","323.250,00"
"2018","Zona Interior","Tormos","62,69","336","53.600,00"
"2018","Zona Interior","la Vall d'Alcalà","7,18","164","228.510,00"
"2018","Zona Interior","la Vall d'Ebo","6,91","224","324.250,00"
"2018","Zona Interior","la Vall de Gallinera","10,98","589","536.330,00"
"2018","Zona Interior","la Vall de Laguar","35,57","820","230.540,00"
"2018","Zona Intermedia","el Verger","558,16","4.520","80.980,00"
"2018","Zona Costa","els Poblets","777,84","2.864","36.820,00"
"2017","-","Comunitat Valenciana","212,40","4.941.509","232.654.670,00"
"2017","-","Provincia de Alicante","313,72","1.825.332","58.182.940,00"
"2017","-","La Marina Alta","223,16","169.327","7.587.630,00"
"2017","-","Zona Costa","512,88","106.475","2.076.040,00"
"2017","-","Zona Intermedia","195,68","49.366","2.522.790,00"
"2017","-","Zona Interior","45,12","13.486","2.988.830,00"
"2017","Zona Interior","l'Atzúbia","45,26","664","146.700,00"
"2017","Zona Interior","Alcalalí","88,62","1.276","143.980,00"
"2017","Zona Interior","Beniarbeig","259,22","1.919","74.030,00"
"2017","Zona Interior","Benigembla","23,46","433","184.540,00"
"2017","Zona Interior","Benidoleig","144,31","1.080","74.840,00"
"2017","Zona Interior","Benimeli","113,14","391","34.560,00"
"2017","Zona Intermedia","Benissa","156,02","10.879","697.280,00"
"2017","Zona Costa","Poble Nou de Benitatxell","316,81","4.020","126.890,00"
"2017","Zona Costa","Calp","881,79","20.804","235.930,00"
"2017","Zona Interior","Castell de Castells","9,49","436","459.270,00"
"2017","Zona Costa","Dénia","626,01","41.568","664.010,00"
"2017","Zona Intermedia","Gata de Gorgos","285,36","5.804","203.390,00"
"2017","Zona Intermedia","Xaló","76,22","2.636","345.860,00"
"2017","Zona Costa","Xàbia/Jávea","392,66","27.060","689.140,00"
"2017","Zona Intermedia","Llíber","43,36","951","219.330,00"
"2017","Zona Interior","Murla","82,06","477","58.130,00"
"2017","Zona Intermedia","Ondara","648,92","6.739","103.850,00"
"2017","Zona Interior","Orba","114,78","2.035","177.300,00"
"2017","Zona Interior","Parcent","81,99","965","117.700,00"
"2017","Zona Intermedia","Pedreguer","251,38","7.435","295.770,00"
"2017","Zona Intermedia","Pego","187,77","9.923","528.470,00"
"2017","Zona Interior","el Ràfol d'Almúnia","129,09","631","48.880,00"
"2017","Zona Interior","Sagra","69,87","393","56.250,00"
"2017","Zona Interior","Sanet y Negrals","160,83","634","39.420,00"
"2017","Zona Intermedia","Senija","120,77","578","47.860,00"
"2017","Zona Costa","Teulada","312,36","10.097","323.250,00"
"2017","Zona Interior","Tormos","62,13","333","53.600,00"
"2017","Zona Interior","la Vall d'Alcalà","7,35","168","228.510,00"
"2017","Zona Interior","la Vall d'Ebo","7,15","232","324.250,00"
"2017","Zona Interior","la Vall de Gallinera","11,08","594","536.330,00"
"2017","Zona Interior","la Vall de Laguar","35,79","825","230.540,00"
"2017","Zona Intermedia","el Verger","545,94","4.421","80.980,00"
"2017","Zona Costa","els Poblets","794,68","2.926","36.820,00"
"2016","-","Comunitat Valenciana","213,19","4.959.968","232.654.670,00"
"2016","-","Provincia de Alicante","315,64","1.836.459","58.182.940,00"
"2016","-","La Marina Alta","223,83","169.831","7.587.630,00"
"2016","-","Zona Costa","511,96","106.285","2.076.040,00"
"2016","-","Zona Intermedia","197,84","49.911","2.522.790,00"
"2016","-","Zona Interior","45,62","13.635","2.988.830,00"
"2016","Zona Interior","l'Atzúbia","46,97","689","146.700,00"
"2016","Zona Interior","Alcalalí","89,67","1.291","143.980,00"
"2016","Zona Interior","Beniarbeig","258,95","1.917","74.030,00"
"2016","Zona Interior","Benigembla","22,71","419","184.540,00"
"2016","Zona Interior","Benidoleig","149,25","1.117","74.840,00"
"2016","Zona Interior","Benimeli","111,11","384","34.560,00"
"2016","Zona Intermedia","Benissa","157,76","11.000","697.280,00"
"2016","Zona Costa","Poble Nou de Benitatxell","323,43","4.104","126.890,00"
"2016","Zona Costa","Calp","830,37","19.591","235.930,00"
"2016","Zona Interior","Castell de Castells","9,78","449","459.270,00"
"2016","Zona Costa","Dénia","624,46","41.465","664.010,00"
"2016","Zona Intermedia","Gata de Gorgos","286,40","5.825","203.390,00"
"2016","Zona Intermedia","Xaló","76,56","2.648","345.860,00"
"2016","Zona Costa","Xàbia/Jávea","395,06","27.225","689.140,00"
"2016","Zona Intermedia","Llíber","50,61","1.110","219.330,00"
"2016","Zona Interior","Murla","83,61","486","58.130,00"
"2016","Zona Intermedia","Ondara","640,06","6.647","103.850,00"
"2016","Zona Interior","Orba","117,60","2.085","177.300,00"
"2016","Zona Interior","Parcent","83,69","985","117.700,00"
"2016","Zona Intermedia","Pedreguer","251,24","7.431","295.770,00"
"2016","Zona Intermedia","Pego","192,22","10.158","528.470,00"
"2016","Zona Interior","el Ràfol d'Almúnia","128,89","630","48.880,00"
"2016","Zona Interior","Sagra","73,60","414","56.250,00"
"2016","Zona Interior","Sanet y Negrals","164,64","649","39.420,00"
"2016","Zona Intermedia","Senija","120,56","577","47.860,00"
"2016","Zona Costa","Teulada","329,59","10.654","323.250,00"
"2016","Zona Interior","Tormos","60,26","323","53.600,00"
"2016","Zona Interior","la Vall d'Alcalà","7,48","171","228.510,00"
"2016","Zona Interior","la Vall d'Ebo","7,49","243","324.250,00"
"2016","Zona Interior","la Vall de Gallinera","10,85","582","536.330,00"
"2016","Zona Interior","la Vall de Laguar","34,74","801","230.540,00"
"2016","Zona Intermedia","el Verger","557,55","4.515","80.980,00"
"2016","Zona Costa","els Poblets","881,59","3.246","36.820,00"
"2015","-","Comunitat Valenciana","214,08","4.980.689","232.654.670,00"
"2015","-","Provincia de Alicante","318,83","1.855.047","58.182.940,00"
"2015","-","La Marina Alta","230,66","175.015","7.587.630,00"
"2015","-","Zona Costa","530,95","110.227","2.076.040,00"
"2015","-","Zona Intermedia","201,28","50.779","2.522.790,00"
"2015","-","Zona Interior","46,87","14.009","2.988.830,00"
"2015","Zona Interior","l'Atzúbia","43,08","632","146.700,00"
"2015","Zona Interior","Alcalalí","91,05","1.311","143.980,00"
"2015","Zona Interior","Beniarbeig","260,16","1.926","74.030,00"
"2015","Zona Interior","Benigembla","26,55","490","184.540,00"
"2015","Zona Interior","Benidoleig","159,81","1.196","74.840,00"
"2015","Zona Interior","Benimeli","120,37","416","34.560,00"
"2015","Zona Intermedia","Benissa","166,33","11.598","697.280,00"
"2015","Zona Costa","Poble Nou de Benitatxell","369,61","4.690","126.890,00"
"2015","Zona Costa","Calp","912,98","21.540","235.930,00"
"2015","Zona Interior","Castell de Castells","9,38","431","459.270,00"
"2015","Zona Costa","Dénia","625,79","41.553","664.010,00"
"2015","Zona Intermedia","Gata de Gorgos","289,35","5.885","203.390,00"
"2015","Zona Intermedia","Xaló","77,34","2.675","345.860,00"
"2015","Zona Costa","Xàbia/Jávea","401,67","27.681","689.140,00"
"2015","Zona Intermedia","Llíber","50,11","1.099","219.330,00"
"2015","Zona Interior","Murla","88,77","516","58.130,00"
"2015","Zona Intermedia","Ondara","637,17","6.617","103.850,00"
"2015","Zona Interior","Orba","124,65","2.210","177.300,00"
"2015","Zona Interior","Parcent","84,71","997","117.700,00"
"2015","Zona Intermedia","Pedreguer","248,06","7.337","295.770,00"
"2015","Zona Intermedia","Pego","195,49","10.331","528.470,00"
"2015","Zona Interior","el Ràfol d'Almúnia","129,91","635","48.880,00"
"2015","Zona Interior","Sagra","72,89","410","56.250,00"
"2015","Zona Interior","Sanet y Negrals","170,98","674","39.420,00"
"2015","Zona Intermedia","Senija","127,46","610","47.860,00"
"2015","Zona Costa","Teulada","354,52","11.460","323.250,00"
"2015","Zona Interior","Tormos","58,21","312","53.600,00"
