"Año","Zona","Ámbito geográfico","Nº Restaurantes","Nº Plazas"
"2020","Zona Intermedia","Gata de Gorgos","13","556"
"2020","Zona Intermedia","Xaló","22","1004"
"2020","Zona Costa","Xàbia/Jávea","313","11911"
"2020","Zona Intermedia","Llíber","4","263"
"2020","Zona Interior","Murla","1","60"
"2020","Zona Intermedia","Ondara","32","1199"
"2020","Zona Interior","Orba","12","586"
"2020","Zona Interior","Parcent","9","524"
"2020","Zona Intermedia","Pedreguer","21","1663"
"2020","Zona Intermedia","Pego","17","702"
"2020","Zona Interior","el Ràfol d'Almúnia","",""
"2020","Zona Interior","Sagra","1","30"
"2020","Zona Interior","Sanet y Negrals","1","30"
"2020","Zona Intermedia","Senija","5","110"
"2020","Zona Costa","Teulada","190","6543"
"2020","Zona Interior","Tormos","1","180"
"2020","Zona Interior","la Vall d'Alcalà","3","156"
"2020","Zona Interior","la Vall d'Ebo","3","110"
"2020","Zona Interior","la Vall de Gallinera","4","189"
"2020","Zona Interior","la Vall de Laguar","5","164"
"2020","Zona Intermedia","el Verger","16","757"
"2020","Zona Costa","els Poblets","16","589"
"2019","-","Comunitat Valenciana","14824","858275"
"2019","-","Provincia de Alicante","6813","342122"
"2019","-","La Marina Alta","1612","62043"
"2019","-","Zona Costa","1356","50028"
"2019","-","Zona Intermedia","195","8766"
"2019","-","Zona Interior","61","3249"
"2019","Zona Interior","l'Atzúbia","2","28"
"2019","Zona Interior","Alcalalí","9","660"
"2019","Zona Interior","Beniarbeig","2","78"
"2019","Zona Interior","Benigembla","2","48"
"2019","Zona Interior","Benidoleig","4","264"
"2019","Zona Interior","Benimeli","",""
"2019","Zona Intermedia","Benissa","65","2512"
"2019","Zona Costa","Poble Nou de Benitatxell","20","796"
"2019","Zona Costa","Calp","359","11934"
"2019","Zona Interior","Castell de Castells","2","142"
"2019","Zona Costa","Dénia","458","18255"
"2019","Zona Intermedia","Gata de Gorgos","13","556"
"2019","Zona Intermedia","Xaló","22","1004"
"2019","Zona Costa","Xàbia/Jávea","313","11911"
"2019","Zona Intermedia","Llíber","4","263"
"2019","Zona Interior","Murla","1","60"
"2019","Zona Intermedia","Ondara","32","1199"
"2019","Zona Interior","Orba","12","586"
"2019","Zona Interior","Parcent","9","524"
"2019","Zona Intermedia","Pedreguer","21","1663"
"2019","Zona Intermedia","Pego","17","702"
"2019","Zona Interior","el Ràfol d'Almúnia","",""
"2019","Zona Interior","Sagra","1","30"
"2019","Zona Interior","Sanet y Negrals","1","30"
"2019","Zona Intermedia","Senija","5","110"
"2019","Zona Costa","Teulada","190","6543"
"2019","Zona Interior","Tormos","1","180"
"2019","Zona Interior","la Vall d'Alcalà","3","156"
"2019","Zona Interior","la Vall d'Ebo","3","110"
"2019","Zona Interior","la Vall de Gallinera","4","189"
"2019","Zona Interior","la Vall de Laguar","5","164"
"2019","Zona Intermedia","el Verger","16","757"
"2019","Zona Costa","els Poblets","16","589"
"2018","-","Comunitat Valenciana","14772","855974"
"2018","-","Provincia de Alicante","6765","340243"
"2018","-","La Marina Alta","1599","61812"
"2018","-","Zona Costa","1345","49887"
"2018","-","Zona Intermedia","194","8736"
"2018","-","Zona Interior","60","3189"
"2018","Zona Interior","l'Atzúbia","2","28"
"2018","Zona Interior","Alcalalí","9","660"
"2018","Zona Interior","Beniarbeig","2","78"
"2018","Zona Interior","Benigembla","2","48"
"2018","Zona Interior","Benidoleig","4","264"
"2018","Zona Interior","Benimeli","",""
"2018","Zona Intermedia","Benissa","64","2482"
"2018","Zona Costa","Poble Nou de Benitatxell","20","796"
"2018","Zona Costa","Calp","358","11872"
"2018","Zona Interior","Castell de Castells","2","142"
"2018","Zona Costa","Dénia","450","18178"
"2018","Zona Intermedia","Gata de Gorgos","13","556"
"2018","Zona Intermedia","Xaló","22","1004"
"2018","Zona Costa","Xàbia/Jávea","313","11911"
"2018","Zona Intermedia","Llíber","4","263"
"2018","Zona Interior","Murla","1","60"
"2018","Zona Intermedia","Ondara","32","1199"
"2018","Zona Interior","Orba","12","586"
"2018","Zona Interior","Parcent","9","524"
"2018","Zona Intermedia","Pedreguer","21","1663"
"2018","Zona Intermedia","Pego","17","702"
"2018","Zona Interior","el Ràfol d'Almúnia","",""
"2018","Zona Interior","Sagra","1","30"
"2018","Zona Interior","Sanet y Negrals","1","30"
"2018","Zona Intermedia","Senija","5","110"
"2018","Zona Costa","Teulada","188","6541"
"2018","Zona Interior","Tormos","1","180"
"2018","Zona Interior","la Vall d'Alcalà","3","156"
"2018","Zona Interior","la Vall d'Ebo","3","110"
"2018","Zona Interior","la Vall de Gallinera","3","129"
"2018","Zona Interior","la Vall de Laguar","5","164"
"2018","Zona Intermedia","el Verger","16","757"
"2018","Zona Costa","els Poblets","16","589"
"2017","-","Comunitat Valenciana","14689","846386"
"2017","-","Provincia de Alicante","6719","337666"
"2017","-","La Marina Alta","1588","61469"
"2017","-","Zona Costa","1335","49752"
"2017","-","Zona Intermedia","193","8528"
"2017","-","Zona Interior","60","3189"
"2017","Zona Interior","l'Atzúbia","2","28"
"2017","Zona Interior","Alcalalí","9","660"
"2017","Zona Interior","Beniarbeig","2","78"
"2017","Zona Interior","Benigembla","2","48"
"2017","Zona Interior","Benidoleig","4","264"
"2017","Zona Interior","Benimeli","",""
"2017","Zona Intermedia","Benissa","63","2274"
"2017","Zona Costa","Poble Nou de Benitatxell","21","802"
"2017","Zona Costa","Calp","356","11829"
"2017","Zona Interior","Castell de Castells","2","142"
"2017","Zona Costa","Dénia","443","18082"
"2017","Zona Intermedia","Gata de Gorgos","13","556"
"2017","Zona Intermedia","Xaló","22","1004"
"2017","Zona Costa","Xàbia/Jávea","311","11909"
"2017","Zona Intermedia","Llíber","4","263"
"2017","Zona Interior","Murla","1","60"
"2017","Zona Intermedia","Ondara","32","1199"
"2017","Zona Interior","Orba","12","586"
"2017","Zona Interior","Parcent","9","524"
"2017","Zona Intermedia","Pedreguer","21","1663"
"2017","Zona Intermedia","Pego","17","702"
"2017","Zona Interior","el Ràfol d'Almúnia","",""
"2017","Zona Interior","Sagra","1","30"
"2017","Zona Interior","Sanet y Negrals","1","30"
"2017","Zona Intermedia","Senija","5","110"
"2017","Zona Costa","Teulada","188","6541"
"2017","Zona Interior","Tormos","1","180"
"2017","Zona Interior","la Vall d'Alcalà","3","156"
"2017","Zona Interior","la Vall d'Ebo","3","110"
"2017","Zona Interior","la Vall de Gallinera","3","129"
"2017","Zona Interior","la Vall de Laguar","5","164"
"2017","Zona Intermedia","el Verger","16","757"
"2017","Zona Costa","els Poblets","16","589"
"2016","-","Comunitat Valenciana","14556","832880"
"2016","-","Provincia de Alicante","6615","331416"
"2016","-","La Marina Alta","1578","61152"
"2016","-","Zona Costa","1325","49595"
"2016","-","Zona Intermedia","194","8568"
"2016","-","Zona Interior","59","2989"
"2016","Zona Interior","l'Atzúbia","2","28"
"2016","Zona Interior","Alcalalí","8","460"
"2016","Zona Interior","Beniarbeig","2","78"
"2016","Zona Interior","Benigembla","2","48"
"2016","Zona Interior","Benidoleig","4","264"
"2016","Zona Interior","Benimeli","",""
"2016","Zona Intermedia","Benissa","63","2274"
"2016","Zona Costa","Poble Nou de Benitatxell","21","802"
"2016","Zona Costa","Calp","354","11806"
"2016","Zona Interior","Castell de Castells","2","142"
"2016","Zona Costa","Dénia","438","17966"
"2016","Zona Intermedia","Gata de Gorgos","13","556"
"2016","Zona Intermedia","Xaló","22","1004"
"2016","Zona Costa","Xàbia/Jávea","311","11907"
"2016","Zona Intermedia","Llíber","4","263"
"2016","Zona Interior","Murla","1","60"
"2016","Zona Intermedia","Ondara","32","1199"
"2016","Zona Interior","Orba","12","586"
"2016","Zona Interior","Parcent","9","524"
"2016","Zona Intermedia","Pedreguer","21","1663"
"2016","Zona Intermedia","Pego","18","742"
"2016","Zona Interior","el Ràfol d'Almúnia","",""
"2016","Zona Interior","Sagra","1","30"
"2016","Zona Interior","Sanet y Negrals","1","30"
"2016","Zona Intermedia","Senija","5","110"
"2016","Zona Costa","Teulada","186","6526"
"2016","Zona Interior","Tormos","1","180"
"2016","Zona Interior","la Vall d'Alcalà","3","156"
"2016","Zona Interior","la Vall d'Ebo","3","110"
"2016","Zona Interior","la Vall de Gallinera","3","129"
"2016","Zona Interior","la Vall de Laguar","5","164"
"2016","Zona Intermedia","el Verger","16","757"
"2016","Zona Costa","els Poblets","15","588"
"2015","-","Comunitat Valenciana","14477","822073"
"2015","-","Provincia de Alicante","6540","327497"
"2015","-","La Marina Alta","1556","60284"
"2015","-","Zona Costa","1306","48850"
"2015","-","Zona Intermedia","193","8536"
"2015","-","Zona Interior","57","2898"
"2015","Zona Interior","l'Atzúbia","2","28"
"2015","Zona Interior","Alcalalí","7","370"
"2015","Zona Interior","Beniarbeig","2","78"
"2015","Zona Interior","Benigembla","2","48"
"2015","Zona Interior","Benidoleig","4","264"
"2015","Zona Interior","Benimeli","",""
"2015","Zona Intermedia","Benissa","63","2274"
"2015","Zona Costa","Poble Nou de Benitatxell","21","802"
"2015","Zona Costa","Calp","352","11731"
"2015","Zona Interior","Castell de Castells","2","142"
"2015","Zona Costa","Dénia","428","17527"
"2015","Zona Intermedia","Gata de Gorgos","13","556"
"2015","Zona Intermedia","Xaló","22","1004"
"2015","Zona Costa","Xàbia/Jávea","307","11817"
"2015","Zona Intermedia","Llíber","4","263"
"2015","Zona Interior","Murla","1","60"
"2015","Zona Intermedia","Ondara","31","1198"
"2015","Zona Interior","Orba","12","586"
"2015","Zona Interior","Parcent","9","524"
"2015","Zona Intermedia","Pedreguer","21","1663"
"2015","Zona Intermedia","Pego","18","711"
"2015","Zona Interior","el Ràfol d'Almúnia","",""
"2015","Zona Interior","Sagra","1","30"
"2015","Zona Interior","Sanet y Negrals","1","30"
"2015","Zona Intermedia","Senija","5","110"
"2015","Zona Costa","Teulada","183","6385"
"2015","Zona Interior","Tormos","1","180"
"2015","Zona Interior","la Vall d'Alcalà","3","156"
"2015","Zona Interior","la Vall d'Ebo","3","110"
"2015","Zona Interior","la Vall de Gallinera","2","128"
"2015","Zona Interior","la Vall de Laguar","5","164"
"2015","Zona Intermedia","el Verger","16","757"
"2015","Zona Costa","els Poblets","15","588"
"2014","-","Comunitat Valenciana","14563","819718"
"2014","-","Provincia de Alicante","6482","322552"
"2014","-","La Marina Alta","1530","58258"
"2014","-","Zona Costa","1283","47170"
"2014","-","Zona Intermedia","190","8190"
"2014","-","Zona Interior","57","2898"
"2014","Zona Interior","l'Atzúbia","2","28"
"2014","Zona Interior","Alcalalí","7","370"
"2014","Zona Interior","Beniarbeig","2","78"
"2014","Zona Interior","Benigembla","2","48"
"2014","Zona Interior","Benidoleig","4","264"
"2014","Zona Interior","Benimeli","",""
"2014","Zona Intermedia","Benissa","62","2238"
"2014","Zona Costa","Poble Nou de Benitatxell","21","802"
"2014","Zona Costa","Calp","345","11327"
"2014","Zona Interior","Castell de Castells","2","142"
"2014","Zona Costa","Dénia","415","16411"
"2014","Zona Intermedia","Gata de Gorgos","13","556"
"2014","Zona Intermedia","Xaló","22","1004"
"2014","Zona Costa","Xàbia/Jávea","304","11657"
"2014","Zona Intermedia","Llíber","4","263"
"2014","Zona Interior","Murla","1","60"
"2014","Zona Intermedia","Ondara","29","888"
"2014","Zona Interior","Orba","12","586"
"2014","Zona Interior","Parcent","9","524"
"2014","Zona Intermedia","Pedreguer","21","1663"
"2014","Zona Intermedia","Pego","18","711"
"2014","Zona Interior","el Ràfol d'Almúnia","",""
"2014","Zona Interior","Sagra","1","30"
"2014","Zona Interior","Sanet y Negrals","1","30"
"2014","Zona Intermedia","Senija","5","110"
"2014","Zona Costa","Teulada","183","6385"
"2014","Zona Interior","Tormos","1","180"
"2014","Zona Interior","la Vall d'Alcalà","3","156"
"2014","Zona Interior","la Vall d'Ebo","3","110"
"2014","Zona Interior","la Vall de Gallinera","2","128"
"2014","Zona Interior","la Vall de Laguar","5","164"
"2014","Zona Intermedia","el Verger","16","757"
"2014","Zona Costa","els Poblets","15","588"
"2013","-","Comunitat Valenciana","14635","809364"
"2013","-","Provincia de Alicante","6486","317983"
"2013","-","La Marina Alta","1543","57912"
"2013","-","Zona Costa","1297","46957"
"2013","-","Zona Intermedia","188","8017"
"2013","-","Zona Interior","58","2938"
"2013","Zona Interior","l'Atzúbia","2","28"
"2013","Zona Interior","Alcalalí","8","370"
"2013","Zona Interior","Beniarbeig","2","78"
"2013","Zona Interior","Benigembla","2","48"
"2013","Zona Interior","Benidoleig","4","264"
"2013","Zona Interior","Benimeli","",""
"2013","Zona Intermedia","Benissa","59","2113"
"2013","Zona Costa","Poble Nou de Benitatxell","21","802"
"2013","Zona Costa","Calp","360","11530"
"2013","Zona Interior","Castell de Castells","2","142"
"2013","Zona Costa","Dénia","416","16291"
"2013","Zona Intermedia","Gata de Gorgos","13","556"
"2013","Zona Intermedia","Xaló","22","1004"
"2013","Zona Costa","Xàbia/Jávea","304","11460"
"2013","Zona Intermedia","Llíber","4","263"
"2013","Zona Interior","Murla","1","60"
"2013","Zona Intermedia","Ondara","30","888"
"2013","Zona Interior","Orba","12","586"
"2013","Zona Interior","Parcent","9","524"
"2013","Zona Intermedia","Pedreguer","20","1583"
"2013","Zona Intermedia","Pego","19","743"
"2013","Zona Interior","el Ràfol d'Almúnia","",""
"2013","Zona Interior","Sagra","1","30"
"2013","Zona Interior","Sanet y Negrals","1","30"
"2013","Zona Intermedia","Senija","5","110"
"2013","Zona Costa","Teulada","182","6316"
"2013","Zona Interior","Tormos","1","180"
"2013","Zona Interior","la Vall d'Alcalà","3","196"
"2013","Zona Interior","la Vall d'Ebo","3","110"
"2013","Zona Interior","la Vall de Gallinera","2","128"
"2013","Zona Interior","la Vall de Laguar","5","164"
"2013","Zona Intermedia","el Verger","16","757"
"2013","Zona Costa","els Poblets","14","558"
